,AAPL,AMZN,BA,BAC,C,CAT,COP,CVX,DIS,GOOGL,GS,JNJ,JPM,MMM,MRK,MSFT,NKE,NVDA,PFE,SLB,UNH,XOM
2016-07-08,-0.26056498,-0.017125081,-0.036131594,0.10281943,-0.049095504,-0.14699969,-0.12953298,-0.1240932,0.12687162,-0.09852305,-0.12672098,-0.0029611557,0.028769612,0.2645306,0.0043143006,0.064400256,-0.023189211,0.21552761,-0.011067271,-0.0058512567,0.05999931,0.16462322
2016-07-15,-0.26522127,-0.015371387,-0.042538665,0.0919155,-0.04219491,-0.13471904,-0.11572526,-0.13567299,0.12890401,-0.10350253,-0.115251124,0.00057332515,0.028295025,0.2607031,0.009270316,0.07001026,-0.022354584,0.22075686,-0.014203111,-0.00040932893,0.044840027,0.15189576
2016-07-22,-0.26805285,-0.018612439,-0.039363302,0.09294885,-0.03902449,-0.1373429,-0.12410426,-0.13025917,0.13096139,-0.10906168,-0.103114605,0.009195751,0.028679052,0.2530287,0.010365978,0.058276325,-0.013421118,0.22699328,-0.007171625,-0.0018354177,0.034530696,0.14638379
2016-07-29,-0.2660955,-0.015321642,-0.048087753,0.10319831,-0.042787742,-0.13804202,-0.10698595,-0.1386693,0.12887628,-0.1029763,-0.113443635,-0.0021977187,0.023313325,0.26101345,0.019112611,0.06772182,-0.031917434,0.21684083,-0.017530616,0.0010709583,0.04892411,0.15398388
2016-08-05,-0.21244736,-0.010762327,-0.01446691,0.11422954,-0.0048250495,-0.08470155,-0.12820038,-0.16990903,0.15151675,-0.13820116,-0.13513297,-0.0022902905,-0.0063112704,0.23362803,0.023804814,0.082289346,-0.036581494,0.22678931,-0.01718341,-0.03166815,0.02873153,0.13169213
2016-08-12,-0.25745767,-0.0023061722,-0.06502064,0.11500259,-0.010405433,-0.11107137,-0.10577414,-0.13579696,0.1456046,-0.1332098,-0.11469655,-0.0080971,0.009785786,0.25435317,0.017455395,0.06313875,-0.018545657,0.2123681,-0.015063545,-0.0007732272,0.03612733,0.12438252
2016-08-19,-0.2632462,0.0050787954,-0.05506114,0.10837729,-0.023571689,-0.108521536,-0.09633024,-0.14461978,0.13000825,-0.14339857,-0.12206066,-0.00048422217,0.02300791,0.24690096,0.024860214,0.06693135,-0.015467251,0.22553892,-0.024739206,0.0027628422,0.039545845,0.12448814
2016-08-26,-0.25546703,0.0072759986,-0.052632023,0.0968795,-0.016613137,-0.10868366,-0.097657695,-0.14705288,0.12614322,-0.14778945,-0.122845314,0.0044070603,0.029540246,0.24280941,0.027395863,0.06648158,-0.017475462,0.22684443,-0.02016918,0.0035582124,0.034184594,0.1208657
2016-09-02,-0.25132388,0.008172711,-0.043065093,0.08996414,-0.011261547,-0.104025505,-0.10586895,-0.15047769,0.12663862,-0.15571052,-0.12102606,0.01209563,0.036129184,0.23847556,0.026220134,0.062389832,-0.023034204,0.22569303,-0.014373099,0.010641801,0.026382852,0.11736313
2016-09-09,-0.24164161,-0.0036982663,-0.043866955,0.09376848,-0.012176442,-0.10052232,-0.10462029,-0.14783782,0.13577892,-0.15265328,-0.12417941,0.010296059,0.02872465,0.22628932,0.024889499,0.0730512,-0.03076207,0.22121552,-0.024614654,0.0041582524,0.041257214,0.12714402
2016-09-16,-0.2460142,-0.008102512,-0.059290268,0.09770707,-0.01918615,-0.10053648,-0.09394802,-0.1484955,0.1510352,-0.14761236,-0.13032791,0.016041826,0.015265408,0.22445595,0.023616154,0.06558319,-0.0332535,0.21720552,-0.023358528,0.014684928,0.05743395,0.12709622
2016-09-23,-0.25478452,0.0048853485,-0.045594983,0.096302986,-0.008854342,-0.099349216,-0.10566304,-0.15358308,0.13815169,-0.16048734,-0.12729871,0.018195337,0.037824474,0.23205705,0.02817052,0.06363022,-0.038569093,0.21833697,-0.023325512,0.016173089,0.044843417,0.11893873
2016-09-30,-0.24779928,-0.005453547,-0.0550735,0.086585335,0.00663017,-0.0911053,-0.1014959,-0.15927586,0.1318676,-0.16442904,-0.119948104,0.018109357,0.038895205,0.23374724,0.036297906,0.067500815,-0.03776909,0.2173424,-0.024181003,0.0024468838,0.047224235,0.11988349
2016-10-07,-0.2431916,-0.0032269314,-0.042318538,0.08459791,0.029092986,-0.08976869,-0.112310484,-0.1650516,0.13028434,-0.16698323,-0.11141826,0.023027599,0.05148358,0.21473765,0.02481832,0.071220696,-0.04365935,0.21338888,-0.022858052,0.002557385,0.038765863,0.116811596
2016-10-14,-0.23873524,-0.009988431,-0.043917682,0.076891385,0.038031656,-0.09205413,-0.11449635,-0.16504778,0.12351868,-0.1678568,-0.10364244,0.028587114,0.05113589,0.21004248,0.024862181,0.08243656,-0.045132,0.2136414,-0.027607352,0.0022021055,0.037781768,0.119346954
2016-10-21,-0.23662448,-0.028591732,-0.055639286,0.088274375,0.031802677,-0.10031064,-0.11381161,-0.14957863,0.13874878,-0.1719293,-0.08919199,0.027722334,0.04390756,0.19832392,0.022226313,0.0801646,-0.03231874,0.21264262,-0.025936473,0.0056212964,0.038624734,0.115873694
2016-10-28,-0.22242227,-0.01595303,-0.05717199,0.10475538,0.04249399,-0.095072664,-0.12227414,-0.15146944,0.14441252,-0.17819932,-0.107935235,0.027904594,0.03851661,0.19899681,0.018736701,0.08050977,-0.029833028,0.21174629,-0.07253722,-0.016757077,0.056470066,0.14508264
2016-11-04,-0.21603306,-0.018628044,-0.058740944,0.09774265,0.05303644,-0.11096225,-0.13013561,-0.14671376,0.15967965,-0.16916205,-0.10256462,0.041935176,0.019410562,0.19073056,0.02228583,0.067075625,-0.017266309,0.23004413,-0.07171235,-0.018785696,0.040154647,0.13860953
2016-11-11,-0.20794757,-0.0077391146,-0.05495744,0.098045826,0.116952255,-0.108837545,-0.16525777,-0.09375068,0.19118021,-0.16164865,-0.07925639,0.05450601,0.018402785,0.15425554,0.0074415444,0.05192291,0.00696938,0.25700518,-0.08538049,-0.0682389,-0.03044426,0.10677712
