,AAPL,AMZN,BA,BAC,C,CAT,COP,CVX,DIS,GOOGL,GS,JNJ,JPM,MMM,MRK,MSFT,NKE,NVDA,PFE,SLB,UNH,XOM
2016-04-29,0.03768598,0.092403784,-0.05795446,0.04696125,0.039842058,0.06835319,-0.017345263,-0.037251793,-0.0038623153,-0.076636285,-0.1120559,-0.026815385,-0.0392488,0.0608913,0.013190704,0.0517206,-0.0062275603,-0.034189273,0.057145707,0.006887371,-0.013815192,-0.04967975
2016-05-06,0.038144648,0.09732652,-0.06075772,0.04518073,0.037972618,0.065961376,-0.017677516,-0.040032864,0.0010784343,-0.07386994,-0.10832806,-0.025799673,-0.042368464,0.0570319,0.011079932,0.054338075,-0.002292902,-0.03503868,0.053958647,0.005569522,-0.013545533,-0.047931064
2016-05-13,0.039368656,0.104834035,-0.04955073,0.050486065,0.03733998,0.062494528,-0.0247817,-0.03954718,0.008148241,-0.07909979,-0.100814365,-0.024602627,-0.046022642,0.0578232,0.0011274747,0.044714127,-0.014416163,-0.03277312,0.04976897,0.015090483,-0.009286068,-0.05030141
2016-05-20,0.042905487,0.106005765,-0.06571468,0.052879415,0.03362145,0.07125455,-0.02438384,-0.02217849,0.0073604463,-0.07810974,-0.1021984,-0.021875046,-0.051902063,0.06293648,-0.0054722405,0.041946284,-0.014766747,-0.04426353,0.0433294,0.014864782,-0.002728266,-0.043511033
2016-05-27,0.044648953,0.105235554,-0.07346912,0.05628712,0.030726114,0.071568176,-0.021209547,-0.016421517,0.006017342,-0.073555544,-0.09963946,-0.021422017,-0.05667007,0.06723121,-0.006111657,0.039284755,-0.010269481,-0.05229459,0.044093154,0.013066955,-0.007258321,-0.039838005
2016-06-03,0.042686783,0.10820152,-0.07324399,0.05009256,0.025889363,0.07576499,-0.025655452,-0.009989465,0.0054713385,-0.07073966,-0.09585121,-0.01953416,-0.058352936,0.06476945,-0.012893705,0.030703157,-0.010175131,-0.050188374,0.04534837,0.022631492,-0.005491519,-0.039443467
2016-06-10,0.04028477,0.10742674,-0.07829859,0.052309096,0.02304922,0.07501832,-0.025003051,-0.0073018344,-0.0033412755,-0.069101594,-0.098738834,-0.016287297,-0.05674184,0.060882986,-0.018191436,0.032138623,-0.00646939,-0.040993918,0.04842813,0.025485262,-0.0051012496,-0.039452866
2016-06-17,0.037629765,0.107609704,-0.07493633,0.05211364,0.021662971,0.07252756,-0.029741358,-0.00283207,-0.009767264,-0.069567546,-0.1012645,-0.015365725,-0.0533319,0.05453347,-0.020635132,0.029353138,-0.011010124,-0.032378126,0.04888744,0.031364433,-0.00020759366,-0.03464444
2016-06-24,0.031273395,0.11027892,-0.059543144,0.044959057,0.021316689,0.07381263,-0.04096374,0.003123553,-0.010978578,-0.07426478,-0.106468245,-0.010114948,-0.04783845,0.04497271,-0.021423047,0.01882202,-0.014846981,-0.016199091,0.05281806,0.038278244,0.0004543487,-0.037468605
2016-07-01,0.03587505,0.11120652,-0.07835649,0.04737205,0.014171441,0.07170192,-0.03151555,0.0036625653,-0.018728334,-0.064916834,-0.0999091,-0.013233826,-0.05305775,0.0486533,-0.0225279,0.030637305,-0.006662801,-0.032976676,0.05590651,0.0318727,0.003966068,-0.033140182
2016-07-08,0.035061814,0.11113049,-0.08388628,0.044805326,0.01145429,0.07086657,-0.0330733,0.007992742,-0.017396268,-0.063226774,-0.10181017,-0.01041415,-0.056963492,0.05022639,-0.025092477,0.02891292,-0.004849816,-0.028992604,0.05894152,0.035667706,0.0023189273,-0.031673405
2016-07-15,0.028808912,0.10919032,-0.087830745,0.041460834,0.009857476,0.07291456,-0.033176728,0.0074858563,-0.015719378,-0.05916307,-0.10114489,-0.009847461,-0.059996974,0.055521376,-0.022821587,0.024485195,-0.00032775028,-0.029128814,0.061753552,0.033643443,0.004497583,-0.030461753
2016-07-22,0.028057694,0.10648636,-0.088721596,0.042392053,0.008299163,0.07258094,-0.029160406,0.009692845,-0.016093668,-0.05499967,-0.10205646,-0.008492355,-0.054325484,0.055175085,-0.021070108,0.018773958,0.0023228594,-0.030438894,0.063532606,0.028771117,0.0026568857,-0.033382885
2016-07-29,0.028099705,0.10474441,-0.08804377,0.04862159,0.009395534,0.077403784,-0.03136712,0.014897704,-0.01439981,-0.050881576,-0.10388458,-0.015023443,-0.054388374,0.05235939,-0.021521542,0.013566497,0.00017494448,-0.024962045,0.06571235,0.028827842,-0.0028462051,-0.036485244
2016-08-05,0.023809694,0.09593891,-0.09286388,0.03593708,0.011043811,0.09026792,-0.041749574,0.013059011,0.00047266483,-0.04583613,-0.106368326,-0.008923492,-0.061374925,0.067575224,-0.016992407,0.015690368,-0.002456159,-0.021183189,0.060329013,0.018862313,-0.0022370021,-0.033000845
2016-08-12,0.038231116,0.10390888,-0.08801413,0.04139232,0.0028585873,0.08700581,-0.04035763,0.0070641665,-0.007586904,-0.048891526,-0.10807569,-0.01807558,-0.05456264,0.0574935,-0.020050908,0.008674237,-0.00067337975,-0.030257378,0.07659091,0.03536161,-0.007244864,-0.03479051
2016-08-19,0.033210766,0.09936975,-0.08848873,0.040138062,0.004893861,0.091569506,-0.037412543,0.010290881,-0.0076955063,-0.0487203,-0.10957891,-0.019394722,-0.047275037,0.05436968,-0.022187551,0.0060033677,0.0006202079,-0.028514141,0.077599995,0.03558625,-0.008918321,-0.035466567
2016-08-26,0.031822532,0.09877373,-0.08451019,0.036139734,0.008972004,0.0913261,-0.035667777,0.001119265,-0.008864465,-0.045892656,-0.110685155,-0.021305582,-0.042580478,0.05393908,-0.019446945,0.004390153,-3.769435e-05,-0.023821712,0.075950444,0.03697611,-0.01051448,-0.036082037
2016-09-02,0.03128437,0.09526322,-0.07843129,0.031716958,0.013023457,0.0902336,-0.034365136,-0.008294562,-0.008437706,-0.042499907,-0.10926469,-0.022744164,-0.039246872,0.052051,-0.020066697,0.0059696883,0.0019684387,-0.019113155,0.07358483,0.032653615,-0.012465418,-0.03281956
2016-09-09,0.031064987,0.097086266,-0.06836922,0.026415834,0.01875045,0.09093457,-0.040360212,-0.010427095,-0.0091027925,-0.049990185,-0.11480544,-0.0208854,-0.036957987,0.05215467,-0.02041118,-0.0015411079,0.0045137806,-0.010160105,0.071212135,0.0364841,-0.014770585,-0.03083553
2016-09-16,0.03363814,0.09584403,-0.062560566,0.028341016,0.017901085,0.08432798,-0.04305834,-0.013853545,-0.0034836517,-0.048712064,-0.11610247,-0.02085977,-0.0381351,0.0497378,-0.017954182,-0.0061591775,0.0058366386,-0.0014657393,0.06705962,0.03441677,-0.015789272,-0.028969238
2016-09-23,0.03189128,0.0912509,-0.06594619,0.028133571,0.019362522,0.08672664,-0.03981186,-0.018603358,4.3326618e-05,-0.04213781,-0.11301799,-0.02367514,-0.03407725,0.046617325,-0.018743597,0.0037523806,0.008572118,-0.009775199,0.066774175,0.025085822,-0.014381507,-0.028040135
2016-09-30,0.023695176,0.09013301,-0.06407135,0.025035983,0.02333699,0.08511983,-0.04285559,-0.015977215,0.0048346296,-0.04674073,-0.11782918,-0.01849855,-0.034891255,0.051140793,-0.01978631,0.00029607414,0.008965819,-0.008680278,0.065283954,0.033563226,-0.01786187,-0.024213156
2016-10-07,0.023119565,0.088465594,-0.062433697,0.02244578,0.030924618,0.08431959,-0.039640263,-0.022184303,0.0038579912,-0.043047626,-0.11642349,-0.02133714,-0.03131475,0.049868837,-0.021845542,0.0061809183,0.007357082,-0.012021886,0.06676929,0.029407999,-0.017203925,-0.025264625
2016-10-14,0.014112348,0.08768274,-0.06379572,0.018945271,0.042778566,0.087780535,-0.03967134,-0.022289986,0.003489307,-0.039576605,-0.12046659,-0.023951072,-0.027574867,0.049262978,-0.023723364,0.011670625,0.002957881,-0.008237255,0.06516278,0.026823213,-0.015626334,-0.02575314
2016-10-21,0.0070049586,0.087096915,-0.06309087,0.023818756,0.047618367,0.09001576,-0.03980601,-0.018782843,0.0019633858,-0.04260823,-0.13086791,-0.019510884,-0.022734355,0.04976245,-0.024014946,0.008636231,0.0052433833,-0.004642011,0.06874792,0.021731278,-0.021971177,-0.023610163
2016-10-28,0.006102384,0.08817286,-0.06862085,0.02985875,0.054915976,0.08860446,-0.037851654,-0.015980117,0.010842396,-0.040344834,-0.13109908,-0.015926596,-0.027758176,0.051879507,-0.023516094,0.0034568966,-0.002968821,-0.0067182705,0.0604769,0.020744938,-0.02307831,-0.021192294
2016-11-04,0.005787278,0.08656715,-0.06985693,0.025208872,0.054396562,0.088951476,-0.040860437,-0.018929284,0.010090886,-0.034363303,-0.12775014,-0.011892568,-0.026257169,0.049149267,-0.024092522,0.0046636285,0.0005768128,-0.0061222278,0.057338722,0.02113587,-0.021992499,-0.021749381
2016-11-11,0.008865603,0.083236754,-0.06299558,0.019519482,0.041038252,0.0790132,-0.038815003,-0.014232886,0.008313777,-0.03465231,-0.13376772,-0.0043632286,-0.037103154,0.071178444,-0.026202837,-0.00458858,-0.0010896579,-0.010161879,0.06606778,0.026119556,-0.020965323,-0.0144147
2016-11-18,0.008606766,0.07372715,-0.070712164,0.01647143,0.0431153,0.06800409,-0.03168296,-0.011714805,0.016008452,-0.02633987,-0.13516812,0.0071407845,-0.035980966,0.06597263,-0.028542612,-0.0021228255,-0.004369612,-0.010833336,0.05995688,0.023701573,-0.013275787,-0.0119619565
2016-11-25,0.009211046,0.07275548,-0.077619895,0.014628368,0.048502345,0.06590547,-0.0325855,-0.009840184,0.015304446,-0.023437396,-0.13495728,0.011383405,-0.035797674,0.06651605,-0.029536396,-0.0005578667,-0.0024329296,-0.010718284,0.05852004,0.024628479,-0.016396519,-0.01347518
2016-12-02,0.007933337,0.07679768,-0.07394864,0.016102353,0.050385207,0.064375296,-0.032601025,-0.0073243575,0.015952107,-0.0271718,-0.13445763,0.0111517105,-0.037735824,0.06376858,-0.02357978,-0.008307761,-0.00013456009,-0.009963637,0.057980936,0.029138643,-0.025344279,-0.013016552
2016-12-09,0.006861119,0.07829334,-0.07212328,0.01970397,0.050023973,0.06408604,-0.03699245,-0.0028548464,0.015859706,-0.023105592,-0.13239382,0.0046082735,-0.033658937,0.05720352,-0.022474265,-0.015932703,0.005345137,-0.00728614,0.05397228,0.027281875,-0.02682813,-0.009589024
2016-12-16,0.0088546295,0.08037667,-0.06702275,0.027975481,0.040440775,0.06315329,-0.039515145,-0.003050811,0.019630933,-0.017606905,-0.12886296,0.00080769137,-0.029858004,0.05091102,-0.023469772,-0.028819472,0.010009175,-0.00422808,0.054003455,0.022041846,-0.023816552,-0.011954504
2016-12-23,0.007969702,0.07770442,-0.07406492,0.026261067,0.03860312,0.06333176,-0.035328917,0.003942675,0.025820578,-0.011483466,-0.13482536,-0.008772623,-0.023306087,0.051720805,-0.030875687,-0.020884087,0.008487982,-0.0022090124,0.053703535,0.012800803,-0.020297164,-0.008299117
2016-12-30,0.008079374,0.07787223,-0.07344383,0.029201418,0.033896364,0.06333283,-0.036133863,0.0050801137,0.022729538,-0.011381118,-0.13284452,-0.006167048,-0.020908523,0.052946746,-0.034637243,-0.025699586,0.006704616,-0.005096403,0.05166588,0.014748243,-0.014751485,-0.0051937415
2017-01-06,0.0032881026,0.08544185,-0.076832436,-0.0044765947,0.029120326,0.061362714,-0.055451907,0.015668195,0.016543526,-0.0061669946,-0.1360796,0.0038245271,-0.03330917,0.041483887,-0.053713106,-0.019101407,0.024314208,0.0062754275,0.07202353,0.022444159,0.009282964,-0.0059421984
2017-01-13,0.007600234,0.08270888,-0.0769154,-0.00391334,0.02533416,0.06499912,-0.05279752,0.009235578,0.02200525,0.0038235723,-0.13712703,-0.0006917447,-0.03802899,0.046105232,-0.057682086,-0.010995964,0.015545597,0.0071621956,0.070472434,0.02382004,0.006425666,-0.007085833
2017-01-20,0.005250317,0.078470275,-0.078997105,-0.0019295454,0.020632947,0.059083305,-0.05014676,0.015279358,0.02544235,0.007983508,-0.1332101,0.00014224873,-0.03584101,0.050970357,-0.05809482,-0.010381222,0.02026363,0.0025927678,0.064518824,0.027919393,0.0022862137,-0.012234939
2017-01-27,0.0049311854,0.08138035,-0.078477405,0.001740691,0.01674353,0.06153197,-0.05556646,0.019368576,0.025582206,0.004049438,-0.13436808,0.0087222485,-0.03943619,0.049713425,-0.059445083,-0.011751848,0.01851292,0.002762109,0.06571671,0.02162754,0.002254086,-0.0055919318
2017-02-03,0.0015928254,0.07829768,-0.077882454,6.29127e-05,0.018605163,0.058855046,-0.046922676,0.011034715,0.023736555,0.014717746,-0.13318536,0.006156303,-0.03331057,0.051437594,-0.061757147,-0.010838753,0.020135598,0.0037340596,0.05587747,0.02430369,0.003309831,-0.007960267
2017-02-10,0.013501289,0.076101676,-0.07642269,-0.0012483448,0.006275083,0.07127796,-0.05691705,0.013287043,0.023112196,0.0027965368,-0.1351588,0.0037641868,-0.039474256,0.051726855,-0.06636229,-0.0044430615,0.024602141,0.007235369,0.07136579,0.025714656,0.004870751,-0.015605027
2017-02-17,0.008713539,0.07540021,-0.061571397,-0.003149903,0.0046458454,0.058966685,-0.056102574,0.00014773608,0.027658593,0.0034310191,-0.13305971,0.006933304,-0.038353607,0.057680883,-0.06003778,-0.011790311,0.015518593,0.010436332,0.06437236,0.029203858,0.0078059556,-0.0068496168
2017-02-24,0.019361567,0.072451636,-0.061218955,-0.007889384,-0.0010140315,0.0658151,-0.060994755,-0.007508914,0.028644532,0.002314128,-0.12997717,0.0015124291,-0.037760854,0.05630693,-0.05652657,-0.005882612,0.011785063,0.013109731,0.06396401,0.033169694,0.011660363,-0.011321953
2017-03-03,0.023392966,0.07258187,-0.061964072,-0.008934212,0.0014621019,0.06635328,-0.062990405,-0.007585092,0.02445126,0.00038585215,-0.13242534,-0.00057563337,-0.037587255,0.05604124,-0.05427754,-0.0057746293,0.011538695,0.014939371,0.06303926,0.035695333,0.010250504,-0.00801752
2017-03-10,0.021473967,0.075139284,-0.060786974,-0.0073208334,-0.0007354334,0.061859787,-0.0636701,-0.013031925,0.026625052,0.005692242,-0.12983039,0.0018942424,-0.04060144,0.055026066,-0.054663222,-0.0017443448,0.007926745,0.016928587,0.05946759,0.033017337,0.010075437,-0.0027416572
2017-03-17,0.0228613,0.074028626,-0.055403758,-0.00250023,-0.009064053,0.062943436,-0.065416776,-0.015340472,0.02647709,0.00278752,-0.12903464,0.0072828024,-0.04157822,0.056559652,-0.05358395,-0.00891611,0.009225826,0.01836558,0.05332415,0.03678836,0.013045752,-0.0028518692
2017-03-24,0.02159366,0.07115708,-0.06684166,-0.004571408,-0.008086246,0.058015905,-0.05629205,-0.011123842,0.02407517,0.010395141,-0.13330808,0.0053464337,-0.038715772,0.057828825,-0.05813543,0.0010766864,0.011303329,0.014289141,0.059902947,0.027555827,0.014391917,0.00014246107
2017-03-31,0.019551486,0.07104776,-0.067764774,-0.003608629,-0.006888248,0.054284405,-0.06335323,-0.0091248825,0.025570517,0.0134501355,-0.13228847,0.0052675926,-0.040636804,0.05927179,-0.058970787,0.004158175,0.0073892646,0.010303222,0.060147334,0.03481057,0.014254937,0.0031286627
2017-04-07,0.02158861,0.07232095,-0.06889029,-0.009669578,-0.0009260938,0.0597878,-0.0647341,-0.011286122,0.0215967,0.006796181,-0.12810306,0.002397932,-0.036824353,0.054309558,-0.056934386,0.008906935,0.004530164,0.011671823,0.062706605,0.034384154,0.01250203,0.0038685203
2017-04-14,0.021015557,0.073057175,-0.06650176,-0.0104738325,0.0029453903,0.06312271,-0.068869516,-0.013271473,0.022426363,0.0070515336,-0.12439171,-8.948147e-06,-0.038691044,0.050383084,-0.05626615,0.013640381,-0.00038982852,0.010913399,0.061843537,0.036579836,0.010612952,0.0052723736
2017-04-21,0.01781939,0.072638854,-0.06568711,-0.010602981,-0.0009922981,0.055539917,-0.061854742,-0.01957539,0.021716014,0.010730898,-0.11724608,0.0025812804,-0.03843236,0.048490774,-0.05400186,0.018091444,0.0020761346,0.008265875,0.06668152,0.028822407,0.011946769,0.0029915615
2017-04-28,0.018680422,0.06668393,-0.06423422,-0.010226011,0.0041836994,0.05729867,-0.06460683,-0.020781245,0.019068062,0.011354148,-0.119008385,0.0020571859,-0.035037745,0.048482914,-0.057201862,0.021657404,-0.0016283859,0.01135124,0.06854931,0.02754635,0.01164276,0.0041685714
2017-05-05,0.01695774,0.067311384,-0.06256954,-0.013436872,0.0037440062,0.055737875,-0.064095855,-0.022968777,0.019981232,0.012653137,-0.11646347,0.0010355487,-0.036686566,0.04768564,-0.053820025,0.023474231,-0.0010737565,0.009037633,0.070708945,0.023229873,0.015231917,0.004325713
2017-05-12,0.013550225,0.062383115,-0.06941248,-0.012973714,0.00023339987,0.05332451,-0.06517289,-0.015685817,0.023299076,0.020020938,-0.1163107,-0.0024843097,-0.041500125,0.05346756,-0.06263743,0.028936276,0.0014172088,0.0041461303,0.07058843,0.03274571,0.014627497,0.0074374527
2017-05-19,0.005869829,0.062064033,-0.068730734,-0.013369116,0.0006726772,0.04787964,-0.06391075,-0.012321582,0.02592597,0.02044871,-0.10942165,0.0013711676,-0.037387066,0.0497301,-0.06563825,0.028143983,0.004814614,1.5214085e-06,0.065923795,0.036574274,0.013267499,0.008091329
2017-05-26,0.0006499242,0.064578824,-0.064975426,-0.012572187,-0.0007872313,0.047664687,-0.06753139,-0.011626517,0.026501536,0.025395727,-0.10235338,0.0015234143,-0.0399943,0.05516993,-0.06455397,0.028040236,0.0011380274,-0.0025157318,0.069839545,0.024723422,0.016385056,0.0052997842
2017-06-02,-0.00088481046,0.06408493,-0.06753467,-0.01032961,0.0021391616,0.04724157,-0.06588279,-0.008814761,0.027860487,0.025625935,-0.10026534,0.0044844938,-0.031965062,0.052332558,-0.063443474,0.026858274,0.0018801938,-0.006940347,0.058895193,0.0259671,0.014285622,0.0044053374
2017-06-09,0.007889306,0.06567085,-0.050749063,-0.007224077,0.005450441,0.060169626,-0.07336543,-0.009806208,0.002373049,0.022430733,-0.10193145,0.01209259,-0.032940235,0.06694142,-0.06843713,0.006029427,0.019595813,0.002516377,0.065749064,0.020365065,0.0011166974,-0.01393688
2017-06-16,-0.00052141136,0.06843281,-0.0522367,-0.0025039196,0.0034237162,0.04161914,-0.05944743,-0.0008774012,0.021958087,0.019938443,-0.103932366,0.015240388,-0.024755761,0.06800963,-0.061624795,0.0008116007,0.013644802,-0.009344037,0.040847596,0.020179613,0.004592008,-0.0034540177
2017-06-23,0.0049846265,0.0676414,-0.058913447,-0.0006980598,0.0014830291,0.05091501,-0.06692767,0.0058004437,0.020110853,0.017764157,-0.11264475,0.013621494,-0.03036279,0.07206343,-0.061310984,-0.0060446532,0.009981838,-0.007446523,0.047377013,0.024690334,0.0068767876,0.0010384545
2017-06-30,0.0049806517,0.06547074,-0.053091906,-0.0065090805,-0.0019231886,0.051563703,-0.05775975,-0.009494787,0.023248132,0.015607332,-0.10380237,0.0030503676,-0.028279021,0.060017813,-0.05847643,0.013559264,0.009290405,-0.0064997314,0.054109655,0.011625521,0.013128238,0.00018438995
2017-07-07,0.012754479,0.067417264,-0.05252645,-0.0034120828,-0.0045387642,0.05091279,-0.06743734,-0.01335337,0.023865025,0.017659543,-0.10455991,0.0075921295,-0.036725976,0.06407548,-0.05765031,0.010963121,-0.0056553213,-0.004244715,0.061024137,0.011262255,0.018608084,0.0039699315
